,City,Latitude,Longitude,Name,PostalCode,State
40,Milwaukee,43.051053,-87.924469,Jacob Leinenkugel Brewing Co,53205,WI
41,Seattle,47.651638,-122.350149,Dad Watsons,98103,Wallingford
42,Golden,39.760012,-105.21848,Ac Golden Brewing Co,80401,CO
43,Fordland,37.226814,-92.942252,B K S Bears Brew Llc,65652,MO
44,Elkton,39.612693,-75.836805,Irish Town Brewing Company,21921,MD
45,Montrose,38.478807,-107.879991,Two Rascals Brewing,81401,CO
46,Milton,44.62742,-73.142545,Milton Beverage Warehouse,5468,West Milton
47,Fort Myers,26.58058661,-81.87425384,Old Soul Brewing,33907,FL
48,Fresno,36.563229,-119.739137,Vie-del Co,93725,Malaga
49,Irvine,33.68434,-117.850674,Capistrano Brewing Co,92614,CA
50,Hillsborough,45.52827,-122.91331,Mystery Brewery Public House,27278,West Hillsborough
51,Burlington,44.459621,-73.213803,Zero Gravity Brewery,5401,Burl
52,Guilford,39.238287,-84.988848,Chateau Pomije Winery,47022,New Alsace
53,Rittman,20.68917858,-103.3480714,Vancouver Wings,44270,OH
54,Chattanooga,35.04397904,-85.30304624,Hutton & Smith Brewing Co.,37403,TN
55,Kailua Kona,19.610555,-155.979036,Paradise Brewing Co. Tap & Grill,96740,HI
56,Tampa,28.040283,-82.524723,Zachary's,33624,FL
57,Berlin,39.800432,-74.930774,Keg and Barrel Home Brew Supplies Llc,8009,Berlin Boro
58,Santa Monica,34.0303093,-118.4764659,The Black Pearl Hq,90404,CA
59,Stuart,27.235792,-80.270372,Total Wine & More,34994,FL
60,New York,40.806522,-73.965319,Heartland Brewery,10025,Nyc
61,Woodland Hills,34.184339,-118.605654,Total Wine & More,91367,CA
62,Centralia,46.73518297,-123.0016369,Dick's Brewing Company,98531,Grand Mound
63,Woodland,38.678097,-121.77122,Blue Note Brewing Company,95695,CA
64,Chula Vista,32.600826,-117.08285,Bay Bridge Brewing,91911,CA
65,Carroll,49.384586,8.572336,Schwetzinger Brauhaus Zum Ritter,68723,NE
66,Columbus,41.4013867,2.132710218,Al solete,8022,NJ
67,Hayneville,45.51917,11.61771,La Taverna del luppolo,36040,AL
68,Gillette,44.292183,-105.50401,Gillette Brewing Company,82716,WY
69,Los Angeles,33.927607,-118.372998,Kirin Brewery of America Llc,90045,Playa Vista
70,Boise,43.60433,-116.1912,The Stone House,83712,ID
71,Pawtucket,41.87375,-71.376045,Duffins Pub,2860,RI
72,Peru,44.577169,-73.510453,Livingood's Restaurant & Brewery,12972,NY
73,Longmont,40.16022,-105.09984,300 Suns Brewing Co,80501,CO
74,Rowlett,32.90538868,-96.57102585,Firewheel Brewing Co.,75088,TX
75,Tampa,27.958834,-82.50933,The Brew Bus- Tampa Bay,33607,FL
76,Redondo Beach,33.865686,-118.356368,King Harbor Brewing Co,90278,CA
77,Aurora,39.74794063,-104.8372883,Ursula Brewery,80045,CO
78,Grand Rapids,47.219387,-93.528739,Pepsi-Cola Co.,55744,MN
79,Pasadena,34.144979,-118.152149,Haven Gastropub,91105,CA
80,Colorado Springs,38.88099098,-104.718283,Rock Bottom Restaurant & Brewery,80922,Cimarron Hills
81,Glenwood Springs,39.515805,-107.319778,Casey Brewing and Blending Llc,81601,Glenwood
82,Sonoma,38.234469,-122.466756,Schug Carneros Estate,95476,Schellville
83,Cathlamet,46.205383,-123.38719,Drop Anchor Brewery,98612,WA
84,Westmont,41.77541,-87.982323,Urban Legend Brewing Company,60559,IL
85,Port Townsend,48.108961,-122.773634,Propolis Brewing Llc,98368,Beckett Point
86,San Jose,37.315174,-121.866429,Sufferfest Beer Co,95112,CA
87,Vista,33.148506,-117.22094,Barrel Harbor Brewing,92081,CA
88,Carmel,39.97174571,-86.12921761,Union Brewing Company,46032,IN
89,Austin,30.344316,-97.73847,Growler Room,78757,TX
90,Pittsburgh,40.477245,-79.95708,Roundabout Brewery,15201,Pitt
91,Union Pier,41.82846831,-86.67511849,The Round Barn Winery,49129,MI
92,Boise,43.61947,-116.337875,Sockeye Grill and Brewery,83713,ID
93,Fort Bragg,39.446904,-123.806137,North Coast Brewing Co Store,95437,Inglenook
94,Indianapolis,39.78059,-86.216483,Hi-neighbor Tavern,46222,IN
95,East Peoria,40.682168,-89.591978,Granite City Food & Brewery,61611,Peoria
96,San Diego,32.954379,-117.232069,Ralphs Fresh Fare,92130,CA
97,Boise,43.616471,-116.208927,Woodland Empire Ale Craft,83702,ID
98,Chandler,33.319665,-111.944473,Jersey D's Tavern & Grill,85226,AZ
99,Mount Joy,40.111668,-76.50284,Bube's Brewery,17552,Donegal Springs
100,Canandaigua,42.866837,-77.2252,Naked Dove Brewing Company,14424,NY
101,Arvada,39.80059504,-105.0587524,Odyssey Beerwerks Brewery and Tap Room,80002,Wheat Ridge
102,Los Angeles,33.945065,-118.402005,Gordon Biersch Brewery Restaurant,90045,Playa Vista
103,Woodburn,45.142503,-122.857413,Trapala Brewpub & Rostisseria Llc,97071,OR
104,Perryville,37.725066,-89.863591,City Tavern,63775,Brewer
105,Henrico,37.58894645,-77.5564593,Jack and Laura's New House,23229,Tuckahoe
106,Purcellville,45.470936,9.243121,Il Giardino Della Birra,20134,VA
107,Elizaville,42.05955,-73.79534,Sloop Brewing Co.,12523,NY
108,Columbus,32.527777,-84.949862,Homebrew of Columbus,31909,GA
109,Goleta,34.42865,-119.873505,Hollister Brewing Company,93117,Santa Barbara
110,Chesapeake,36.678665,-76.22847,Big Ugly Brewing,23322,VA
111,Spokane,47.682153,-117.411407,Jim's Home Brew Supply,99207,WA
112,Bairdford,43.35766087,-8.403044342,La Cervecería,15006,PA
113,Bend,44.04656,-121.31077,Rat Hole Brewing,97702,OR
114,Durham,35.99688,-78.88947,Triangle Brewing Company,27701,NC
115,Brooklyn,40.68065,-73.977798,Booker Brewery,11217,NY
116,Bakerstown,43.35487281,-8.414339723,Cervecería Paddock,15007,PA
117,Clifton,39.57059306,2.636789502,Exit Rock Bar,7013,NJ
118,Temple,31.09187671,-97.38579597,Bj's Restaurant and Brewhouse,76504,TX
119,Granite Falls,35.794868,-81.430296,Granite Falls Brewing Co,28630,Dudley Shoals
120,Miami Beach,25.774446,-80.139595,Total Wine More,33139,Venetian Islands
121,Durham,35.99045265,-78.89472213,Bull City Ciderworks,27701,NC
122,Ames,42.077923,-93.66892,Alluvial Brewing Company,50014,IA
123,South Bend,41.674502,-86.250294,South Bend Brew Werks,46601,So Bend
124,Gaithersburg,39.140861,-77.215306,Dogfish Head Alehouse,20878,No Potomac
125,Wheaton,41.865505,-88.10677,Dry City Brew Works,60187,IL
126,Bath,47.11469,-2.06281,Brigantine Brasserie De La Cote De Jade,44210,OH
127,Phoenix,33.571512,-112.061317,Fry's Food and Drug,85020,AZ
128,Austin,30.26217727,-97.76138281,Uncle Billy's Brew & Que,78704,TX
129,Seattle,47.60788,-122.3394,Road Dog Tours,98104,Pioneer Square
130,Oak Harbor,48.299137,-122.6528,Flyer Restaurant and Brewery,98277,WA
131,Longmont,40.111371,-104.944754,Echo Brewing Co,80504,Niwot
132,Charlotte,35.187028,-80.891684,C B S Distributing Inc,28217,NC
133,Ashburn,39.01613,-77.47557,Lost Rhino Brewing Co.,20147,VA
134,Blacksburg,37.234874,-80.420513,Eats Natural Foods,24060,VA
135,Estes Park,40.373144,-105.522957,Rock Cut Brewing Company,80517,CO
136,Hudson,44.9661,-92.683945,Pitchfork Brewing,54016,Burkhardt
137,Carrboro,35.91001,-79.068726,Yester Years,27510,NC
138,Willowbrook,41.743556,-87.941433,Kerry Piper,60527,Willow Brook
139,Albany,42.662262,-73.778651,Washington Tavern,12203,Mckownville
140,West Lebanon,43.629634,-72.320052,Seven Barrel Brewery,3784,NH
141,Vail,39.64165,-106.37279,George Restaurant Pub,81657,West Vail
142,Lancaster,34.6979056,-118.1433463,Kinetic Brewing Company,93534,Fairmont
143,Wilkes Barre,41.25494,-75.85909,The Lion Brewery Inc,18705,Miners Mill
144,Ada,42.95548,-85.483666,Gravel Bottom Craft Brewery,49301,MI
145,Durango,37.29763472,-107.871824,Durango Brewing Co.,81301,Hermosa
146,Brookings,42.054924,-124.289795,Chetco Brewing Company,97415,OR
147,Longmont,40.154953,-105.10934,Grossen Bart Brewery,80501,CO
148,Nevada City,39.262913,-121.01717,Three Forks Bakery Brewery Co,95959,Graniteville
149,Rochester,43.09146,-77.61894,Blue Toad Hard Cider,14623,NY
150,Hillsboro,45.54904666,-122.900995,Cornelius Pass Roadhouse & Imbrie Hall,97124,Orenco
151,Wisconsin Dells,43.629303,-89.74289,Port Huron Brewing Company,53965,WI
152,Newark,37.5363,-122.0314,Sun Pub,94560,CA
153,Salem,44.905535,-123.018473,Gilgamesh Brewing Co,97302,OR
154,Orlando,28.443487,-81.46971,Brewlando Tours,32819,FL
155,San Diego,32.836644,-117.138178,Brew It Yourself,92111,CA
156,Columbia,33.973219,-81.011321,River Rat Brewery,29201,Olympia
157,Conroe,30.34071,-95.55069,B-52 Brewing Co.,77304,TX
158,Sonoma,38.275385,-122.425675,Gundlach-bundschu Winery,95476,Schellville
159,La Crosse,43.802496,-91.253001,Linder's At The Brewery,54601,Campbell
160,Meredithville,45.703262,9.327385,Biraus Pub,23873,VA
161,Greeley,40.39063554,-104.7267072,Crabtree Brewing Company,80631,CO
162,Dowell,38.347311,-76.454668,Ruddy Duck Brewery & Grill,20629,MD
163,Dallas,32.858623,-96.768047,Humperdinks Restaurant & Brewpub - Greenville Ave,75206,TX
164,Chelan,47.812647,-119.983559,Vin Du Lac Winery,98816,Lakeside
165,Ludlow,42.154667,-72.47552,Iron Duke Brewing,1056,MA
166,New York,40.75630295,-73.9851737,Heartland Brewery,10036,Nyc
167,Saint Cloud,45.55851,-94.15739,Beaver Island Brewery,56301,MN
168,Lebanon,36.201707,-86.291833,Eagle Retail,37087,TN
169,Fiskdale,42.13970193,-72.10995309,Pioneer Brewing Company,1518,MA
170,Peoria,40.686424,-89.5938,John S. Rhodell Brewing,61602,IL
171,Dallas,32.797424,-96.829712,Northlake Supply Co,75207,TX
172,Browns Mills,41.37543611,2.154461143,MonDoré Cervecería Gastronómica,8015,NJ
173,Hobbs,51.491558,6.877554,Franziskaner,46047,IN
174,San Antonio,29.655608,-98.449194,World of Beer,78258,TX
175,Tampa,27.96111,-82.441279,Tampa Bay Brewing Co,33605,FL
176,Jonesboro,33.492061,-84.431119,Just Brew It,30238,GA
177,Worcester,42.25461,-71.82548,Flying Dreams Brewery,1610,MA
178,Armstrong,63.11625,21.61819,Bock’s Corner Brewery,65230,MO
179,Darien,41.734417,-87.9702,Miskatonic Brewing Company,60561,IL
180,Newberg,45.31321,-122.919453,Rex Hill Vineyards-Winery,97132,OR
181,Poulsbo,47.73516618,-122.645454,Valholl Brewing,98370,Central Valley
182,Burlington,44.456185,-73.220687,Switchback Brewing Co,5401,Burl
183,Poulsbo,47.73985,-122.65742,Sound Brewery,98370,Central Valley
184,North Bergen,40.78314,-74.03548,New Jersey Beer Company,7047,Woodcliff
185,Costa Mesa,33.690327,-117.892473,Karl Strauss Brewing Co-costa,92626,CA
186,Auburn,32.607884,-85.4808417,Auburn Ale House,36830,AL
187,Everett,48.002413,-122.21771,Scuttlebutt Brewing,98201,WA
188,Phoenix,33.611713,-111.995421,Fry's Food and Drug,85032,AZ
189,Middlebury,44.035736,-73.16626,Woodchuck Cider House,5753,Weybridge
190,Smyrna,39.281467,-75.622185,Blue Earl Brewing Company,19977,DE
191,Chicago,41.918241,-87.725337,Classic Vending Inc,60647,IL
192,Romeoville,41.644215,-88.07723,Metal Monkey Brewing,60446,IL
193,Arroyo Grande,35.080601,-120.586318,Tanner Jacks,93420,Pismo Beach
194,Milton,42.800224,-88.922226,Cove Bar The,53563,WI
195,Dallas,32.791439,-96.816468,Community Beer Co,75207,TX
196,Knoxville,35.899895,-84.15846,Smoky Mountain Brewery,37934,Concord Farr
197,Bethalto,43.18668,13.36949,Birrificio Il Mastio,62010,IL
198,Gettysburg,39.845915,-77.210407,Battlefield Brew Works,17325,Fairplay
199,Camino,38.749502,-120.669466,Bolster's Hilltop Ranch,95709,Eight Mile House
200,Halethorpe,39.236395,-76.672934,Majestic Distilling Co Inc,21227,Lansdowne
201,Saint Petersburg,27.786533,-82.7837,The Florida Winery,33708,North Redington Beach
202,Steamboat Springs,40.483867,-106.83124,Low Country Kitchen,80487,CO
203,Montgomeryville,40.248994,-75.242194,Keystone Homebrew Supply,18936,PA
204,Fredericksburg,38.30159765,-77.45856423,J Brian's Tap Room,22401,Fred
205,New Orleans,29.95657522,-90.06272346,Jax Brewery & Bistro Bar,70130,LA
206,Portland,45.500323,-122.652954,Bushwhacker Cider - Brooklyn,97202,OR
207,Fredericksburg,38.304224,-77.508202,Total Wine & More,22401,Fred
208,San Antonio,29.390507,-98.541237,Gem's Tavern,78226,TX
209,Boonton,40.905907,-74.413116,Cask & Kettle Home Brew,7005,Lake Intervale
210,Plover,44.451931,-89.523523,Point Brew Supply Llc,54467,Coddington
211,Layton,41.08339492,-111.9819039,Mac Cool's Public House,84041,UT
212,Fernandina Beach,30.67227444,-81.46300385,Cafe Karibo & Karibrew Brew Pub,32034,Amelia City
213,Libertyville,42.340388,-88.022274,Majestic Foods Inc,60048,Mettawa
214,Rehoboth Beach,38.715072,-75.098807,Revelation Brewing Co Tasting,19971,Rehoboth
215,Bangor,44.800108,-68.772778,2 Feet Brewing Co.,4401,Veazie
216,Birmingham,33.364311,-86.784886,Beer Engineers,35244,Riverchase
217,Rogers,36.35531,-94.13457,New Province Brewing Company,72756,AR
218,Chico,39.771094,-121.874479,High Water Brewing,95973,Richardson Springs
219,Valparaiso,41.46646357,-87.06120014,Figure Eight Brewery,46383,IN
220,Avon,39.621047,-106.470145,Vail Brewing Company,81620,CO
221,Waco,31.617558,-97.054411,Cadbury Schweppes,76705,Gholson
222,Cincinnati,39.246846,-84.382804,Coca-cola Fountain Sales,45242,Hazelwood
223,Garner,35.607174,-78.56692,Beer Time Brew Tours - Closed,27529,NC
224,South San Francisco,37.6556423,-122.4131206,Armstrong Brewing Company,94080,Ssf
225,Santa Fe,35.65523892,-105.9984165,Duel Brewery,87507,NM
226,Durango,37.297568,-107.8717,Durango Brewing Co,81301,Hermosa
227,O Fallon,38.805808,-90.753247,O'fallon Brewery,63366,Dardenne Prairie
228,Wasilla,61.58523,-149.3367,Bearpaw River Brewing Company,99654,AK
229,Malvern,40.036647,-75.564523,Fancy Camper Llc,19355,PA
230,Mountain View,37.394557,-122.080448,Tied House,94041,CA
231,Somerville,42.3818893,-71.1060181,Aeronaut Brewing Company,2143,East Somerville
232,O Fallon,38.80068621,-90.69388673,Ethyl's Smokehouse & Saloon,63366,Dardenne Prairie
233,Lubbock,33.52071643,-101.9017878,Fox and Hound English Pub,79423,TX
234,Breckenridge,39.515038,-106.053199,Broken Compass Brewing Co,80424,CO
235,Seneca Falls,42.802164,-76.81108,Swedish Hill Vineyard & Winery,13148,Tyre
236,Billings,45.78448841,-108.501458,Angry Hank's Brewing,59101,MT
237,Sainte Genevieve,37.940643,-90.12701,Crown Valley Brewing and Distilling,63670,Clearwater
238,Nashville,36.158608,-86.809991,Blackston Brewing Co,37209,TN
239,Peoria,33.56183711,-112.2588434,Freak'n Brewing Company,85345,AZ
240,Philadelphia,39.965746,-75.139464,Max's Brew Bar,19123,PA
241,Brooklyn,40.72503,-73.95713,Dirck The Norseman,11222,NY
242,Tustin,33.74979862,-117.81087,Tustin Brewing Company,92780,CA
243,Austin,30.4053841,-97.8745499,Oasis Texas Brewing Company,78732,Marshall Ford
244,Miami,25.689009,-80.387493,World of Beer,33183,South Miami
245,Pawcatuck,41.370235,-71.83371,Cottrell Brewery,6379,CT
246,Lexington,38.01779,-84.455989,Bottom of The Barrel,40509,KY
247,Jacksonville,30.26557017,-81.55643016,Miller's Jacksonville Ale House,32246,FL
248,Oklahoma City,35.541519,-97.565472,Learn To Brew,73116,OK
249,Saint Paul,44.950897,-93.09358,Tin Whiskers Brewing Company,55101,MN
250,Milwaukee,43.01423,-88.000194,Phylo's,53214,WI
251,Sacramento,38.599594,-121.42685,Bjs Restaurant Brewhouse,95815,CA
252,Everett,47.97945389,-122.2018866,Fish Tale Brew Pub,98201,WA
253,Memphis,35.136913,-89.990516,Boscos Squared,38104,Mphs
254,Amherst,42.371708,-72.53308,Amherst Brewing Company,1002,South Amherst
255,Baltimore,39.282065,-76.627716,Jigg's Tavern,21230,MD
256,Fort Worth,32.737133,-97.326037,Rahr & Sons Brewery Co Lp,76104,TX
257,Pittsburgh,40.456835,-79.991454,Pennsylvania Brewing Co,15212,Pitt
258,Asheville,35.5892,-82.553734,Catawba Brewing Company,28801,NC
259,Port Huron,42.97558019,-82.42333852,Thumb Coast Brewing Company,48060,MI
260,Palm Harbor,28.060989,-82.707898,Lager Haus Brew & Grill,34685,FL
261,Scottsdale,33.622784,-111.89199,Tap That Brewing Supplies,85260,AZ
262,Ellington,41.920563,-72.45404,Cold Creek Brewery,6029,CT
263,Lancaster,34.77212,-80.83281,Benford Brewing Co.,29720,SC
264,Catharpin,45.45134946,9.178001315,King's Pub,20143,VA
265,Salt Lake City,40.72511282,-111.8599938,Wasatch Brew Pub,84106,Salt Lake Cty
266,Chadds Ford,39.865759,-75.547713,Wine & Beer Emporium,19317,PA
267,Santa Rosa,38.47425,-122.735547,Siduri Wines,95403,CA
268,Londonderry,42.875579,-71.338613,From The Barrel Brewing Company Llc,3053,NH
269,Nashville,36.17967,-86.74798,Nashville Brew Bus,37206,TN
270,Bar Harbor,44.399582,-68.334206,Atlantic Brewing Company,4609,ME
271,Pittsburgh,40.37776,-80.040634,Hitch Hiker Brewing,15228,Pgh
272,Yoncalla,-20.88212,55.44505,Maison des Brasseries de Bourbon,97499,OR
273,Fort Worth,32.76367,-97.30904,Martin House Brewery,76102,TX
274,Wells,43.32601,-70.57801,Boon Island Alehouse,4090,ME
275,Pharr,26.07421069,-98.3195353,Sierra Madre Brewing Co.,78577,TX
276,Oreland,40.11953,-75.1876,Oreland Inn,19075,PA
277,Phoenix,33.843193,-112.134869,Fry's Food and Drug,85086,AZ
278,Camp Hill,40.23860769,-76.9460851,Appalachian Brewing Company,17011,PA
279,Waconia,44.85046,-93.790146,Waconia Brewing Company,55387,MN
280,Richmond,29.595352,-95.739223,All About Brew,77406,TX
281,Chino Valley,34.798581,-112.453011,Insurgent Brewing Co,86323,AZ
282,Akron,41.062991,-81.472624,Uncle Ricky's,44305,OH
283,Cheyenne,41.132041,-104.81374,Cheyenne Brewing Co,82001,WY
284,Owings,38.682992,-76.618495,Scorpion Brewing Llc,20736,MD
285,Jefferson City,38.551592,-92.119762,7 Up Rc Bottling Co,65101,Honey Creek
286,Dubuque,42.499393,-90.65441,Stone Cliff Winery,52001,Eagle Point
287,Boulder,40.026305,-105.241665,"Clear Choice Window Tinting, Clearbras, & Automotive Detailing",80301,CO
288,Long Beach,33.770814,-118.15442,Redmoon Concepts,90814,CA
289,Apex,35.71213694,-78.85197477,Br��eprint Brewing Co.,27502,NC
290,Evanston,41.26806737,-110.9661499,Suds Bro Brewery,82930,WY
291,Raleigh,35.792947,-78.686847,Raleigh Brewing Co,27607,Ncsu Student Housing
292,Greensboro,36.040272,-79.847382,Total Wine & More,27407,Hilltop
293,Granbury,32.41783259,-97.67032844,Revolver Brewing,76049,TX
294,Le Claire,41.59992,-90.34336,Green Tree Brewery,52753,IA
295,Houston,29.742489,-95.380585,Brews Crews Tours,77006,TX
296,Paso Robles,35.716493,-120.682525,R N Estate Vineyard & Winery,93446,Heritage Rnch
297,Visalia,36.329901,-119.289512,Swaggers Brewery Llc,93291,CA
298,Danville,40.962837,-76.616958,Old Forge Brewing Co,17821,Deiblers
299,Arlington,38.879017,-77.110762,Rock Bottom Restaurant & Brewery,22203,VA
300,Sioux Falls,43.524387,-96.77763,Hydra Beer Company,57106,SD
301,Federal Way,47.31611,-122.30032,RAM Restaurant & Brewery,98003,WA
302,Orlando,28.59705474,-81.21458236,Wawa,32817,FL
303,South Burlington,44.484324,-73.161211,Halyard Brewing Co Llc,5403,Queen City
304,Stevens Point,44.511001,-89.532,Point Brewery,54481,Dewey
305,Watsonville,36.898548,-121.640155,River Run Vintners,95076,La Selva Beach
306,Waynesville,35.49047907,-82.98753728,Boojum Brewery Taproom,28786,NC
307,Carteret,40.606665,-74.269621,Berje Inc,7008,NJ
308,Carmel Valley,36.482631,-121.723289,Joyce Vineyards,93924,Robles Del Rio
309,Cold Spring,45.45557809,-94.42891453,Third Street Brewhouse,56320,MN
310,Tempe,33.429446,-111.904625,Total Wine & More,85281,AZ
311,Stewartville,43.85067,-92.481398,Steel N' Wood Brew Llc,55976,Pleasant Grove
312,Grand Rapids,42.97127413,-85.63052164,Vandermill Cider,49525,MI
313,Cleveland,41.470343,-81.759154,Sawchyn's Cafe,44111,OH
314,Hyattsville,38.95263423,-76.94056034,"Franklin's Restaurant, Brewery, and General Store",20781,Cheverly
315,Sackets Harbor,43.94793948,-76.12068419,Sackets Harbor Brewing Company,13685,Hounsfield
316,Pottstown,40.264929,-75.628527,Weak Knee Home Brewing Supplys,19464,PA
317,Ventura,34.265516,-119.26673,Ventura Coastal Corp,93001,La Conchita
318,Great Barrington,42.819042,-2.807789,Byra Cerveza Artesana S.L,1230,MA
319,Modesto,37.688201,-120.992873,Hut,95350,CA
320,Chicago,41.86268,-87.624227,Vice District Tap Room,60605,IL
321,Bolinas,37.937733,-122.704234,Thackrey & Co,94924,CA
322,Healdsburg,38.581152,-122.845007,Acorn Winery,95448,CA
323,Santa Maria,34.91353,-120.46406,Santa Maria Brewing Co Inc,93455,CA
324,Cincinnati,39.155593,-84.431652,Dillinger's Tavern,45209,OH
325,Ashburn,39.017455,-77.477092,Lost Rhino Brewing Co,20147,VA
326,Paso Robles,35.60478,-120.715835,Terry Hoage Vineyards,93446,Heritage Rnch
327,Albany,31.580766,-84.08686,Miller Brewing Co,31705,GA
328,Carlsbad,33.13867788,-117.2735811,On The Tracks Brewery,92008,CA
329,Zillah,46.44743,-120.28262,Hyatt Vineyards,98953,WA
330,Seattle,47.637878,-122.377185,Total Wine & More,98119,WA
331,Hillsboro,45.53261,-122.95697,Ambacht Brewing,97124,Orenco
332,Great Barrington,42.2133365,-73.34377538,Barrington Brewery & Restaurant,1230,N Egremont
333,Cary,42.2090044,-88.24311634,Cary Ale House & Brewing Company,60013,IL
334,Minneapolis,45.04261,-93.32412,Surly Brewing Co,55429,Brooklyn Park
335,Brookfield,43.036555,-88.128037,Total Wine & More,53045,WI
336,Nashville,36.151863,-86.79906,Blackstone Brewpub Brewery,37203,TN
337,Littleton,39.61196608,-105.0198112,Old Mill Brewery,80120,CO
338,Vernal,40.45510188,-109.5183607,Vernal Brewing Company,84078,Maeser
339,Denver,39.747169,-104.993057,D'vine Wine Denver,80202,CO
340,Gillette,44.29219,-105.50394,Gillette Brewing Company,82716,WY
341,Hot Springs National Park,34.490168,-93.086893,Kroger,71913,Hot Springs National
342,Farmingdale,40.757098,-73.40406,Brews Brothers At Kedco,11735,E Farmingdale
343,Edmonds,47.80878,-122.38685,Gallaghers' Where-u-brew,98020,WA
344,Universal City,34.136247,-118.351366,Karl Strauss Brewing Company,91608,Universal Cty
345,Oceanside,40.630546,-73.640866,Chic Lounge,11572,NY
346,Cedar Falls,42.53548511,-92.44561804,The Pump Haus Pub & Grill,50613,Brookside
347,Eagle,39.65533268,-106.8287319,Bonfire Brewing,81631,CO
348,Cottonwood,46.04963,-116.34983,Wolftrack Brewing and Tasting Den,83522,ID
349,Starkville,33.482284,-88.795281,Strange Brew Coffee House,39759,Bells School
350,Pullman,46.72885992,-117.1801911,Paradise Creek Brewery,99163,WA
351,Monterey,36.600103,-121.894755,Crown & Anchor,93940,Presidio Of Monterey
352,Mason City,43.151814,-93.200096,Mason City Brewing,50401,Emery
353,New Albany,38.327027,-85.817082,Nabc's Public House & Pizzeria,47150,IN
354,Elizabethtown,40.147285,-76.61164,Moo-duck Brewery,17022,Bellaire
355,Oakland,45.95128,11.107828,Plotegher Beer,38060,TN
356,Hollywood,-33.46728,-70.70243,Vina La Montana,33019,FL
357,Lake Ann,44.724277,-85.84293,Lake Ann Brewing Company,49650,MI
358,Lititz,40.15704887,-76.30558491,The Sturgis Haus Brewpub,17543,Fairland
359,Traverse City,44.76419,-85.621226,Mackinaw Brewing Co,49684,MI
360,Saint Paul,44.92224,-93.13434,Vine Park Brewing Company,55102,MN
361,Charlotte,35.24526309,-80.80944312,Heist Brewery,28205,NC
362,Marco Island,25.95311795,-81.7232417,Marco Island Brewery,34145,FL
363,Fiskdale,42.140126,-72.11011508,Hyland Orchard Brewing,1518,MA
